date,weight
2022/12/7,
2022/12/8,
2022/12/9,
2022/12/10,
2022/12/11,
2022/12/12,79.4
2022/12/13,78.2
2022/12/14,78
2022/12/15,
2022/12/16,78.5
2022/12/17,78.7
2022/12/18,
2022/12/19,
2022/12/20,
2022/12/21,
2022/12/22,
2022/12/23,79.8
2022/12/24,
2022/12/25,
2022/12/26,
2022/12/27,
2022/12/28,
2022/12/29,
2022/12/30,
2022/12/31,
2023/1/1,
2023/1/2,
2023/1/3,
2023/1/4,
2023/1/5,
2023/1/6,
2023/1/7,
2023/1/8,
2023/1/9,
2023/1/10,
2023/1/11,
2023/1/12,
2023/1/13,
2023/1/14,
2023/1/15,
2023/1/16,
2023/1/17,
2023/1/18,
2023/1/19,
2023/1/20,
2023/1/21,
2023/1/22,
2023/1/23,
2023/1/24,
2023/1/25,
2023/1/26,
2023/1/27,
2023/1/28,
2023/1/29,
2023/1/30,
2023/1/31,
2023/2/1,
2023/2/2,
2023/2/3,
2023/2/4,
2023/2/5,
2023/2/6,
2023/2/7,
2023/2/8,
2023/2/9,
2023/2/10,
2023/2/11,
2023/2/12,
2023/2/13,
2023/2/14,
2023/2/15,
2023/2/16,
2023/2/17,
2023/2/18,
2023/2/19,
2023/2/20,
2023/2/21,
2023/2/22,
2023/2/23,
2023/2/24,
2023/2/25,
2023/2/26,
2023/2/27,
2023/2/28,
2023/3/1,
2023/3/2,
2023/3/3,
2023/3/4,
2023/3/5,
2023/3/6,
2023/3/7,
2023/3/8,
2023/3/9,
2023/3/10,
2023/3/11,
2023/3/12,
2023/3/13,
2023/3/14,
2023/3/15,
2023/3/16,
2023/3/17,
2023/3/18,
2023/3/19,81.4
2023/3/20,80.5
2023/3/21,80
2023/3/22,79.9
2023/3/23,80.9
2023/3/24,80.9
2023/3/25,81.4
2023/3/26,82
2023/3/27,81.2
2023/3/28,82
2023/3/29,82.7
2023/3/30,82
2023/3/31,82
2023/4/1,
2023/4/2,
2023/4/3,
2023/4/4,
2023/4/5,
2023/4/6,
2023/4/7,
2023/4/8,
2023/4/9,
2023/4/10,
2023/4/11,
2023/4/12,
2023/4/13,
2023/4/14,
2023/4/15,
2023/4/16,
2023/4/17,
2023/4/18,
2023/4/19,
2023/4/20,
2023/4/21,
2023/4/22,
2023/4/23,
2023/4/24,
2023/4/25,
2023/4/26,
2023/4/27,
2023/4/28,
2023/4/29,
2023/4/30,
2023/5/1,82.4
2023/5/2,83
2023/5/3,83.6
2023/5/4,
2023/5/5,
2023/5/6,
2023/5/7,83.3
2023/5/8,82.3
2023/5/9,81.8
2023/5/10,81.2
2023/5/11,81.7
2023/5/12,81.6
2023/5/13,81.7
2023/5/14,81.7
2023/5/15,81.5
2023/5/16,82.5
2023/5/17,82.5
2023/5/18,81.7
2023/5/19,81.7
2023/5/20,81.9
2023/5/21,83
2023/5/22,83
2023/5/23,82.3
2023/5/24,82.7
2023/5/25,
2023/5/26,
2023/5/27,82.5
2023/5/28,
2023/5/29,82.1
2023/5/30,82
2023/5/31,
2023/6/1,82.3
2023/6/2,81.8
2023/6/3,
2023/6/4,81.9
2023/6/5,81.8
2023/6/6,81.2
2023/6/7,82.1
2023/6/8,82.2
2023/6/9,82.3
2023/6/10,81.5
2023/6/11,80.7
2023/6/12,81.2
2023/6/13,80.6
2023/6/14,81.3
2023/6/15,80.5
2023/6/16,80.7
2023/6/17,80.7
2023/6/18,
2023/6/19,
2023/6/20,81.3
2023/6/21,80.8
2023/6/22,81.3
2023/6/23,80.9
2023/6/24,80.4
2023/6/25,80.9
2023/6/26,81.4
2023/6/27,80.3
2023/6/28,80.7
2023/6/29,80.5
2023/6/30,80.7
2023/7/1,81.1
2023/7/2,
2023/7/3,80.8
2023/7/4,80.2
2023/7/5,81.2
2023/7/6,81.2
2023/7/7,81.8
2023/7/8,80.1
2023/7/9,79.9
2023/7/10,80
2023/7/11,80
2023/7/12,80.1
2023/7/13,80.6
2023/7/14,
2023/7/15,81.4
2023/7/16,
2023/7/17,80.7
2023/7/18,80.9
2023/7/19,80.3
2023/7/20,79.9
2023/7/21,80.3
2023/7/22,79.7
2023/7/23,80.2
2023/7/24,79.5
2023/7/25,79.5
2023/7/26,79.8
2023/7/27,80
2023/7/28,80.3
2023/7/29,79.3
2023/7/30,79.4
2023/7/31,79.1
2023/8/1,78.7
2023/8/2,79.6
2023/8/3,78.4
2023/8/4,78.4
2023/8/5,79.3
2023/8/6,78.4
2023/8/7,78.1
2023/8/8,79.9
2023/8/9,81.4
2023/8/10,79.8
2023/8/11,78.8
2023/8/12,78.6
2023/8/13,79
2023/8/14,80.3
2023/8/15,79.5
2023/8/16,81
2023/8/17,80
2023/8/18,
2023/8/19,
2023/8/20,
2023/8/21,
2023/8/22,
2023/8/23,
2023/8/24,
2023/8/25,
2023/8/26,
2023/8/27,
2023/8/28,
2023/8/29,
2023/8/30,
2023/8/31,
2023/9/1,
2023/9/2,
2023/9/3,
2023/9/4,
2023/9/5,
2023/9/6,
2023/9/7,
2023/9/8,
2023/9/9,
2023/9/10,
2023/9/11,81.6
2023/9/12,80.5
2023/9/13,79.7
2023/9/14,79.7
2023/9/15,79.2
2023/9/16,80
2023/9/17,79.6
2023/9/18,79.8
2023/9/19,79.8
2023/9/20,79.7
2023/9/21,79.7
2023/9/22,80.6
2023/9/23,79.7
2023/9/24,79.5
2023/9/25,79.2
2023/9/26,80
2023/9/27,79.4
2023/9/28,80.1
2023/9/29,79.5
2023/9/30,79.5
2023/10/1,78.7
2023/10/2,78.2
2023/10/3,78.9
2023/10/4,78.7
2023/10/5,79
2023/10/6,78.5
2023/10/7,78.8
2023/10/8,78.7
2023/10/9,79
2023/10/10,78.6
2023/10/11,78.5
2023/10/12,78.4
2023/10/13,77.9
2023/10/14,78.9
2023/10/15,78.9
2023/10/16,78.4
2023/10/17,78.5
2023/10/18,78.5
2023/10/19,78.6
2023/10/20,77.6
2023/10/21,77.8
2023/10/22,
2023/10/23,78
2023/10/24,80.2
2023/10/25,78.7
2023/10/26,78
2023/10/27,77.6
2023/10/28,78.7
2023/10/29,77.5
2023/10/30,77.8
2023/10/31,79
2023/11/1,78.7
2023/11/2,79
2023/11/3,78.5
2023/11/4,78.8
2023/11/5,77.7
2023/11/6,77.7
2023/11/7,79.4
2023/11/8,79.3
2023/11/9,79.8
2023/11/10,78.7
2023/11/11,78.7
2023/11/12,78.3
2023/11/13,78.3
2023/11/14,77.9
2023/11/15,77.8
2023/11/16,78.4
2023/11/17,78
2023/11/18,78.4
2023/11/19,78.2
2023/11/20,78.5
2023/11/21,78.3
2023/11/22,
2023/11/23,78.9
2023/11/24,78.7
2023/11/25,79.2
2023/11/26,80.8
2023/11/27,79.7
2023/11/28,79.4
2023/11/29,79.3
2023/11/30,79.2
